,Film,Year,Location,latitude,longitude
78,VanLifeAttila,2016,"North Vancouver, British Columbia, Canada",49.3206294,-123.0737925
79,VanLifeAttila,2016,"North Vancouver, British Columbia, Canada",49.3206294,-123.0737925
80,VanLifeAttila,2016,"Vancouver, British Columbia, Canada",49.2608724,-123.113952
81,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
82,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
83,VanLifeAttila,2016,"Quesnel, British Columbia, Canada",52.9794279,-122.4936273
84,VanLifeAttila,2016,"Kelowna, British Columbia, Canada",49.8879177,-119.4959025
85,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
86,VanLifeAttila,2016,"Coquitlam, British Columbia, Canada",49.2842958,-122.793281
87,VanLifeAttila,2016,"Coquitlam, British Columbia, Canada",49.2842958,-122.793281
88,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
89,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
90,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
91,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
92,VanLifeAttila,2016,"Richmond, British Columbia, Canada",49.163168,-123.137414
93,VanLifeAttila,2016,"Vancouver, British Columbia, Canada",49.2608724,-123.113952
94,VanLifeAttila,2016,Barkerville Highway,53.0154665,-122.4950096
95,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
96,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
97,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
98,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
99,VanLifeAttila,2016,"Sicamous, British Columbia, Canada",50.8270107,-118.98552905060104
100,VanLifeAttila,2016,"Calgary, Alberta, Canada",51.0460954,-114.065465
101,VanLifeAttila,2016,"Vancouver, British Columbia, Canada",49.2608724,-123.113952
102,VanLifeAttila,2016,"Hope, British Columbia, Canada",49.3799438,-121.441351
103,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
104,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
105,VanLifeAttila,2016,"Sicamous, British Columbia, Canada",50.8270107,-118.98552905060104
106,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
107,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
108,VanLifeAttila,2016,"Burnaby, British Columbia, Canada",49.2433804,-122.9725459
109,VanLifeAttila,2016,"North Vancouver, British Columbia, Canada",49.3206294,-123.0737925
110,VanLifeAttila,2016,"Barkerville, British Columbia, Canada",53.068471,-121.5153039254653
111,VanLifeAttila,2016,"Vancouver, British Columbia, Canada",49.2608724,-123.113952
112,VanLifeAttila,2016,"Wells, British Columbia, Canada",53.1044428,-121.5723679
113,VanLifeAttila,2016,"Vancouver, British Columbia, Canada",49.2608724,-123.113952
114,VanLifeAttila,2016,"Stanley Park, Vancouver, British Columbia, Canada",49.3019112,-123.14154052837662
115,VanLifeAttila,2016,"Alberta, Canada",55.001251,-115.002136
